emp_length_int,home_ownership,income_category,annual_inc,loan_amount,term,purpose,interest_payments,loan_condition,interest_rate,grade,dti,total_pymnt,total_rec_prncp,recoveries,installment,region
2.0,RENT,Low,46000,22000, 60 months,credit_card,Low,Good Loan,11.71,B,18.44,28381.33448,22000.0,0.0,486.16,ulster
6.05,MORTGAGE,Low,40000,13200, 60 months,debt_consolidation,High,Bad Loan,14.27,C,5.19,9579.0,5646.16,21.84,309.0,Northern-Irl
10.0,MORTGAGE,Low,86400,13800, 60 months,small_business,Low,Good Loan,12.69,B,1.18,17514.39636,13800.0,0.0,311.81,ulster
10.0,MORTGAGE,Low,65000,30000, 36 months,credit_card,Low,Good Loan,12.69,B,9.58,36215.52788,30000.0,0.0,1006.35,ulster
4.0,RENT,Low,18000,2000, 36 months,other,Low,Bad Loan,7.51,A,16.73,89.89,0.0,89.89,62.23,ulster
7.0,MORTGAGE,Low,37000,3600, 36 months,debt_consolidation,Low,Good Loan,11.71,B,1.98,4283.888024,3600.0,0.0,119.08,cannught
6.0,MORTGAGE,Low,100000,25000, 60 months,credit_card,High,Bad Loan,22.35,F,11.84,4858.35,1698.13,0.0,695.46,ulster
10.0,MORTGAGE,Medium,120000,30000, 60 months,home_improvement,Low,Good Loan,11.71,B,11.8,33117.26,23693.88,0.0,662.95,Northern-Irl
8.0,RENT,Low,70720,16000, 60 months,small_business,High,Bad Loan,19.03,E,5.35,3015.53,1005.14,532.61,415.32,cannught
4.0,MORTGAGE,Low,50000,4800, 60 months,home_improvement,Low,Good Loan,7.9,A,0.6,4837.92,3850.84,0.0,97.1,leinster
10.0,MORTGAGE,Low,74000,20000, 60 months,debt_consolidation,High,Bad Loan,21.28,F,22.69,15796.21,4771.64,2465.61,544.23,cannught
10.0,MORTGAGE,Low,79000,17825, 36 months,vacation,Low,Good Loan,6.62,A,1.85,19697.574780000006,17825.0,0.0,547.3,ulster
10.0,RENT,Low,65642,24000, 60 months,credit_card,High,Bad Loan,21.67,F,19.03,27959.32,11682.06,3642.69,658.36,leinster
0.5,RENT,Low,26400,4000, 36 months,debt_consolidation,Low,Good Loan,7.9,A,12.73,4461.21,4000.0,0.0,125.17,leinster
3.0,RENT,Low,64000,12000, 36 months,debt_consolidation,Low,Bad Loan,12.69,B,24.53,13800.73,11164.85,170.16,402.54,ulster
1.0,MORTGAGE,Medium,132500,12000, 36 months,debt_consolidation,Low,Good Loan,12.69,B,18.99,13877.78,12000.0,0.0,402.54,ulster
0.5,RENT,Low,53285,4000, 36 months,debt_consolidation,Low,Good Loan,7.9,A,15.81,4077.3,4000.0,0.0,125.17,ulster
7.0,RENT,Low,86400,16875, 36 months,credit_card,Low,Good Loan,7.51,A,15.82,18891.499519999998,16875.0,0.0,525.0,munster
6.0,RENT,Low,47000,6000, 36 months,credit_card,Low,Bad Loan,11.71,B,19.69,6549.18,5407.42,10.92,198.46,Northern-Irl
3.0,RENT,Low,42000,11000, 36 months,credit_card,Low,Good Loan,11.71,B,20.86,13070.63392,11000.0,0.0,363.84,cannught
0.5,RENT,Low,45000,6000, 36 months,debt_consolidation,Low,Good Loan,12.69,B,7.76,7236.809962,6000.0,0.0,201.27,cannught
10.0,MORTGAGE,Low,68000,9000, 36 months,home_improvement,High,Good Loan,15.27,C,3.41,11267.55475,9000.0,0.0,313.18,ulster
0.5,RENT,Low,58000,8500, 36 months,car,High,Good Loan,13.49,C,13.7,10170.37,8500.0,0.0,288.41,cannught
10.0,MORTGAGE,Low,49995,10000, 36 months,debt_consolidation,Low,Good Loan,11.71,B,15.41,11901.4895,10000.0,0.0,330.76,leinster
2.0,RENT,Low,28800,1600, 36 months,major_purchase,Low,Good Loan,6.62,A,4.75,1646.56,1600.0,0.0,49.13,Northern-Irl
1.0,RENT,Low,60000,16000, 60 months,credit_card,High,Good Loan,13.49,C,21.7,21280.01806,16000.0,0.0,368.08,Northern-Irl
10.0,RENT,Low,48000,16000, 60 months,credit_card,High,Good Loan,15.96,C,14.6,19409.5,12367.22,0.0,388.75,munster
10.0,MORTGAGE,Low,40000,15300, 60 months,house,Low,Good Loan,7.9,A,25.23,16891.08,15300.0,0.0,309.5,munster
10.0,MORTGAGE,Low,38000,15200, 60 months,credit_card,High,Good Loan,19.03,E,12.88,19639.29,11535.94,0.0,394.55,Northern-Irl
6.0,MORTGAGE,Medium,170004,30000, 60 months,debt_consolidation,High,Good Loan,20.89,F,15.95,40455.58,22612.67,0.0,809.75,cannught
4.0,MORTGAGE,Medium,113500,35000, 60 months,debt_consolidation,High,Bad Loan,22.74,G,23.25,14713.05,5457.99,0.0,981.45,ulster
10.0,MORTGAGE,Medium,175000,8000, 36 months,other,Low,Good Loan,7.9,A,16.77,8844.27,8000.0,0.0,250.33,leinster
7.0,RENT,Low,87000,9000, 36 months,credit_card,High,Good Loan,13.49,C,6.25,10981.04596,9000.0,0.0,305.38,Northern-Irl
1.0,RENT,Low,43000,9575, 36 months,debt_consolidation,Low,Good Loan,6.62,A,26.77,10585.12969,9575.0,0.0,293.99,Northern-Irl
6.0,MORTGAGE,Medium,102540,1500, 36 months,other,Low,Good Loan,7.9,A,22.45,1614.66,1500.0,0.0,46.94,leinster
4.0,RENT,Medium,160000,8000, 36 months,debt_consolidation,Low,Good Loan,12.42,B,8.81,8974.82,8000.0,0.0,267.33,ulster
8.0,MORTGAGE,Low,75000,14825, 36 months,debt_consolidation,Low,Good Loan,12.69,B,18.53,17714.19,14825.0,0.0,497.31,ulster
7.0,MORTGAGE,Low,80000,12000, 60 months,debt_consolidation,High,Good Loan,19.03,E,15.29,16950.424890000002,12000.0,0.0,311.49,Northern-Irl
2.0,RENT,Low,56000,2400, 36 months,debt_consolidation,Low,Good Loan,8.9,A,16.82,2742.82888,2400.0,0.0,76.21,ulster
3.0,RENT,Low,31000,15000, 60 months,debt_consolidation,High,Good Loan,20.89,F,11.19,22854.515180000002,15000.0,0.0,404.88,cannught
2.0,RENT,Low,28800,5000, 36 months,credit_card,Low,Good Loan,10.65,B,22.75,5501.51,4999.99,0.0,162.87,leinster
4.0,MORTGAGE,Medium,140000,21800, 60 months,house,High,Bad Loan,21.28,F,1.46,18749.95,13965.64,448.7,593.21,leinster
8.0,MORTGAGE,Medium,106000,35000, 60 months,home_improvement,Low,Good Loan,11.71,B,2.83,43078.87997,35000.0,0.0,773.44,leinster
10.0,MORTGAGE,Low,100000,7600, 36 months,car,Low,Good Loan,6.03,A,11.22,7638.99,7600.0,0.0,231.32,cannught
10.0,MORTGAGE,Low,84000,25000, 60 months,other,High,Good Loan,17.58,D,22.43,31378.82,19148.19,0.0,629.14,Northern-Irl
10.0,OWN,Low,60996,17500, 60 months,home_improvement,Low,Good Loan,11.71,B,19.56,19319.2,13821.91,0.0,386.72,leinster
2.0,MORTGAGE,Medium,174000,8800, 36 months,credit_card,High,Good Loan,14.27,C,7.57,10191.45,8800.01,0.0,301.92,Northern-Irl
0.5,OWN,Medium,124000,9250, 60 months,debt_consolidation,High,Good Loan,16.77,D,6.5,11433.67,9250.0,0.0,228.75,cannught
0.5,RENT,Low,31200,3600, 36 months,home_improvement,Low,Good Loan,8.9,A,6.46,4113.311735,3600.0,0.0,114.32,Northern-Irl
0.5,OWN,Low,55000,6700, 36 months,credit_card,High,Good Loan,16.77,D,12.85,8237.89,6700.0,0.0,238.11,Northern-Irl
8.0,MORTGAGE,Low,25000,6000, 36 months,small_business,Low,Good Loan,6.62,A,19.49,6540.75,6000.0,0.0,184.23,leinster
4.0,MORTGAGE,Low,88000,16000, 60 months,debt_consolidation,High,Good Loan,17.27,D,13.79,22732.06786,16000.0,0.0,399.97,Northern-Irl
10.0,RENT,Low,42000,12000, 60 months,debt_consolidation,High,Good Loan,14.65,C,15.57,16207.150130000002,12000.0,0.0,283.28,cannught
6.05,MORTGAGE,Low,67692,23200, 36 months,debt_consolidation,High,Good Loan,15.96,C,9.43,28658.14,23200.0,0.0,815.19,ulster
0.5,RENT,Low,75000,2200, 36 months,car,Low,Good Loan,7.9,A,21.9,2438.09,2200.0,0.0,68.84,leinster
7.0,MORTGAGE,Low,76000,6400, 36 months,debt_consolidation,Low,Good Loan,10.65,B,22.52,6457.32,6400.0,0.0,208.47,Northern-Irl
10.0,MORTGAGE,Low,60000,13800, 60 months,major_purchase,Low,Good Loan,10.65,B,6.74,17379.63652,13800.0,0.0,297.65,leinster
0.5,RENT,Low,35000,16000, 60 months,home_improvement,High,Good Loan,14.65,C,3.33,16196.42,16000.0,0.0,377.71,leinster
3.0,RENT,Low,50000,14475, 36 months,credit_card,High,Good Loan,15.27,C,23.69,18084.56468,14475.0,0.0,503.7,Northern-Irl
0.5,RENT,Low,32500,2000, 36 months,moving,High,Good Loan,17.27,D,14.14,2211.99,2000.0,0.0,71.58,ulster
2.0,RENT,Low,75000,19200, 60 months,debt_consolidation,High,Bad Loan,18.25,D,21.92,15402.21,808.56,12783.53,490.17,ulster
4.0,MORTGAGE,Low,72000,17000, 36 months,debt_consolidation,Low,Good Loan,7.51,A,26.45,19035.79035,17000.0,0.0,528.89,ulster
7.0,RENT,Medium,115000,18000, 36 months,other,Low,Bad Loan,7.51,A,12.22,12319.15,10495.01,24.01,560.0,ulster
2.0,MORTGAGE,High,250000,20000, 60 months,small_business,High,Bad Loan,16.77,D,9.22,14774.67,5758.47,3427.33,494.59,cannught
8.0,MORTGAGE,Low,84996,9000, 60 months,debt_consolidation,High,Good Loan,18.25,D,15.36,9272.91,9000.0,0.0,229.77,leinster
5.0,MORTGAGE,High,216000,21000, 36 months,credit_card,Low,Good Loan,8.9,A,14.79,24001.810419999998,21000.0,0.0,666.82,ulster
1.0,RENT,Low,51000,3000, 36 months,moving,Low,Good Loan,8.9,A,5.36,3428.160962,3000.0,0.0,95.26,Northern-Irl
10.0,MORTGAGE,High,360000,20000, 60 months,other,High,Good Loan,18.25,D,1.99,25482.79,15273.67,0.0,510.6,ulster
3.0,RENT,Low,54000,20000, 60 months,debt_consolidation,Low,Good Loan,12.69,B,12.69,25777.1541,20000.0,0.0,451.9,ulster
4.0,OWN,Low,45000,7000, 36 months,debt_consolidation,Low,Good Loan,6.62,A,14.61,7733.8156930000005,7000.0,0.0,214.93,leinster
10.0,MORTGAGE,Medium,144000,30000, 60 months,debt_consolidation,High,Bad Loan,22.74,G,13.96,13454.24,5040.34,0.0,841.24,munster
10.0,RENT,Low,57000,5000, 36 months,moving,Low,Bad Loan,12.42,B,13.89,3482.11,2539.73,151.51,167.08,Northern-Irl
6.0,MORTGAGE,Medium,100995,16000, 36 months,debt_consolidation,Low,Good Loan,7.51,A,12.58,16475.41,16000.0,0.0,497.78,cannught
10.0,MORTGAGE,Medium,115000,35000, 60 months,credit_card,High,Good Loan,21.67,F,22.82,50858.13742,35000.0,0.0,960.11,leinster
10.0,MORTGAGE,Medium,144000,35000, 36 months,other,Low,Good Loan,8.9,A,5.57,39824.66481,35000.0,0.0,1111.37,Northern-Irl
0.5,RENT,Low,85000,18500, 36 months,wedding,Low,Bad Loan,7.9,A,12.83,3629.22,2237.6,568.0,578.87,leinster
10.0,MORTGAGE,Low,80000,14225, 60 months,debt_consolidation,Low,Good Loan,12.42,B,21.99,16277.19,11488.7,0.0,319.46,leinster
3.0,MORTGAGE,Low,58000,19000, 60 months,debt_consolidation,High,Good Loan,19.91,E,7.03,25362.94,19000.0,0.0,502.44,leinster
10.0,MORTGAGE,Low,61651,15000, 60 months,debt_consolidation,High,Good Loan,17.58,D,15.69,18195.55,15000.0,0.0,377.49,cannught
5.0,MORTGAGE,Medium,120000,10000, 36 months,wedding,High,Bad Loan,16.29,D,12.84,8711.61,5809.4,605.95,353.01,leinster
4.0,MORTGAGE,Low,40904,12000, 60 months,home_improvement,Low,Good Loan,12.69,B,25.11,14913.20893,12000.0,0.0,271.14,leinster
1.0,MORTGAGE,Low,100000,12000, 36 months,credit_card,Low,Good Loan,6.03,A,7.14,12844.5,12000.0,0.0,365.23,ulster
2.0,MORTGAGE,Low,82000,6000, 36 months,home_improvement,Low,Good Loan,7.51,A,3.91,6160.02,6000.0,0.0,186.67,ulster
1.0,RENT,Low,16000,6250, 60 months,small_business,Low,Bad Loan,12.42,B,17.4,893.73,306.72,333.57,140.36,cannught
4.0,MORTGAGE,Low,50000,21850, 36 months,debt_consolidation,Low,Good Loan,12.42,B,14.93,26280.40256,21850.0,0.0,730.13,munster
10.0,RENT,Low,30000,11400, 36 months,other,Low,Good Loan,7.51,A,1.72,12764.61217,11400.0,0.0,354.67,Northern-Irl
6.05,OWN,Low,22800,7000, 36 months,other,Low,Bad Loan,7.51,A,22.05,5834.03,4760.04,300.79,217.78,leinster
6.0,MORTGAGE,High,225000,35000, 36 months,debt_consolidation,Low,Bad Loan,10.65,B,8.96,35865.92,29516.29,20.79,1140.07,Northern-Irl
10.0,MORTGAGE,Low,96000,7000, 36 months,car,Low,Good Loan,6.03,A,11.69,7669.571937000002,7000.0,0.0,213.05,leinster
2.0,RENT,Low,18000,1600, 60 months,other,High,Good Loan,20.3,E,0.0,2239.14,1600.0,0.0,42.66,cannught
0.5,RENT,Low,35000,5000, 36 months,credit_card,Low,Good Loan,11.71,B,23.9,5952.594722,5000.0,0.0,165.38,ulster
4.0,RENT,Low,60000,9800, 36 months,debt_consolidation,High,Good Loan,13.49,C,23.34,11971.78385,9800.0,0.0,332.52,Northern-Irl
5.0,MORTGAGE,Low,65000,8000, 36 months,debt_consolidation,High,Bad Loan,16.77,D,3.01,4281.69,2643.08,307.65,284.31,cannught
6.0,RENT,Low,34000,6000, 36 months,credit_card,Low,Good Loan,12.69,B,17.29,7244.457498999999,6000.0,0.0,201.27,munster
9.0,MORTGAGE,Low,55000,15000, 60 months,debt_consolidation,High,Bad Loan,14.27,C,8.09,16108.05,10410.96,0.0,351.13,ulster
6.0,MORTGAGE,Low,45600,10000, 36 months,small_business,High,Good Loan,13.49,C,10.82,12213.506229999999,10000.0,0.0,339.31,Northern-Irl
0.5,RENT,Low,37200,7000, 36 months,debt_consolidation,Low,Good Loan,12.42,B,3.55,8434.201669,7000.0,0.0,233.91,cannught
7.0,MORTGAGE,Medium,180000,16000, 36 months,debt_consolidation,Low,Good Loan,6.03,A,6.35,16828.28,16000.0,0.0,486.97,leinster
10.0,MORTGAGE,Medium,120000,11000, 36 months,home_improvement,Low,Good Loan,6.03,A,8.7,12052.144390000001,11000.0,0.0,334.8,ulster
1.0,RENT,Low,40000,4200, 60 months,debt_consolidation,High,Good Loan,14.27,C,19.62,5260.69,4200.0,0.0,98.32,ulster
1.0,MORTGAGE,Low,38880,9500, 36 months,car,Low,Good Loan,7.51,A,2.78,10035.06,9500.0,0.0,295.56,cannught
7.0,MORTGAGE,Low,55000,8000, 36 months,credit_card,Low,Good Loan,6.62,A,17.02,8625.83,8000.0,0.0,245.63,cannught
9.0,MORTGAGE,Low,59500,12000, 36 months,credit_card,Low,Good Loan,6.62,A,13.21,13089.58789,12000.0,0.0,368.45,munster
2.0,RENT,Low,85000,15000, 36 months,small_business,Low,Good Loan,7.9,A,11.0,16698.18,15000.0,0.0,469.36,Northern-Irl
0.5,RENT,Low,47000,5000, 36 months,debt_consolidation,Low,Good Loan,8.9,A,17.59,5533.75,5000.0,0.0,158.77,leinster
4.0,RENT,Low,50000,10225, 36 months,credit_card,High,Good Loan,14.65,C,20.54,12085.48,10225.0,0.0,352.71,munster
10.0,RENT,Low,46500,15000, 60 months,debt_consolidation,High,Good Loan,19.91,E,18.35,19823.48,11368.33,0.0,396.66,Northern-Irl
10.0,MORTGAGE,Low,72000,15000, 36 months,debt_consolidation,High,Good Loan,13.49,C,11.5,18318.982780000002,15000.0,0.0,508.96,cannught
2.0,MORTGAGE,High,400000,17625, 60 months,other,High,Bad Loan,23.91,G,16.08,20896.16,8674.89,1679.28,506.12,munster
6.0,RENT,Low,78000,27500, 60 months,debt_consolidation,Low,Good Loan,12.69,B,17.23,28640.61,27500.0,0.0,621.36,ulster
6.05,MORTGAGE,Low,55200,20000, 60 months,debt_consolidation,High,Good Loan,22.06,F,16.76,32013.07878,20000.0,0.0,553.07,Northern-Irl
3.0,RENT,Low,36000,5000, 36 months,major_purchase,Low,Good Loan,7.51,A,0.97,5202.43,5000.0,0.0,155.56,ulster
10.0,MORTGAGE,Low,86000,8500, 36 months,debt_consolidation,Low,Good Loan,6.03,A,9.81,9313.038559999999,8500.0,0.0,258.71,Northern-Irl
10.0,MORTGAGE,Low,58044,8875, 36 months,debt_consolidation,Low,Bad Loan,7.9,A,19.43,3419.44,2491.39,366.72,277.71,ulster
3.0,RENT,Low,40000,3500, 36 months,debt_consolidation,Low,Good Loan,7.9,A,5.4,3648.31,3500.0,0.0,109.52,leinster
5.0,OWN,Low,65000,20000, 60 months,debt_consolidation,High,Good Loan,20.3,E,20.34,26631.26,15118.75,0.0,533.23,munster
1.0,MORTGAGE,Low,50004,4200, 60 months,other,Low,Good Loan,8.9,A,14.59,4343.9,3361.18,0.0,86.99,leinster
10.0,MORTGAGE,Low,98000,10000, 36 months,debt_consolidation,Low,Good Loan,6.62,A,6.21,11052.20638,10000.0,0.0,307.04,ulster
4.0,RENT,Low,85000,16000, 36 months,major_purchase,Low,Good Loan,6.03,A,5.15,16569.89,16000.0,0.0,486.97,Northern-Irl
3.0,MORTGAGE,Low,84554,3600, 36 months,car,Low,Good Loan,6.03,A,15.24,3768.34,3600.0,0.0,109.57,munster
0.5,OWN,Low,60000,9000, 36 months,car,Low,Good Loan,9.91,B,8.88,10404.67931,9000.0,0.0,290.03,cannught
2.0,RENT,Low,30696,15250, 60 months,debt_consolidation,High,Good Loan,20.89,F,18.8,20551.49,11462.31,0.0,411.63,leinster
7.0,MORTGAGE,Low,30000,13225, 60 months,debt_consolidation,Low,Good Loan,7.9,A,26.88,15856.943130000001,13225.0,0.0,267.53,leinster
0.5,RENT,Low,41000,5000, 36 months,credit_card,Low,Bad Loan,8.9,A,8.78,4075.82,3180.26,269.42,158.77,ulster
10.0,RENT,Low,35000,7200, 36 months,debt_consolidation,Low,Good Loan,12.69,B,13.41,8693.426835,7200.0,0.0,241.53,leinster
5.0,OWN,Low,66000,20000, 60 months,credit_card,Low,Good Loan,12.42,B,11.29,23159.4,20000.0,0.0,449.15,ulster
8.0,MORTGAGE,Low,31850,14125, 36 months,debt_consolidation,Low,Good Loan,10.65,B,16.65,16561.56538,14125.0,0.0,460.1,cannught
10.0,MORTGAGE,Low,74000,17000, 36 months,debt_consolidation,High,Good Loan,14.27,C,8.53,20480.97,17000.0,0.0,583.26,ulster
10.0,MORTGAGE,Low,68000,10000, 36 months,credit_card,High,Good Loan,16.29,D,7.61,12706.934079999999,10000.0,0.0,353.01,cannught
10.0,RENT,Low,50000,11400, 36 months,debt_consolidation,High,Good Loan,17.58,D,7.75,14713.00113,11400.0,0.0,409.74,ulster
5.0,RENT,Low,21600,7000, 36 months,credit_card,Low,Good Loan,6.62,A,24.22,7751.242214,7000.0,0.0,214.93,munster
5.0,MORTGAGE,Medium,175000,25000, 60 months,debt_consolidation,Low,Good Loan,12.42,B,9.44,27212.45,25000.0,0.0,561.44,ulster
3.0,RENT,Low,42000,4000, 60 months,car,Low,Good Loan,11.71,B,13.17,4147.12,4000.0,0.0,88.4,Northern-Irl
10.0,RENT,Low,20400,6000, 36 months,vacation,Low,Good Loan,6.03,A,0.88,6452.98,6000.0,0.0,182.62,Northern-Irl
10.0,MORTGAGE,Low,90000,4000, 36 months,other,Low,Good Loan,6.62,A,24.33,4420.788578,4000.0,0.0,122.82,Northern-Irl
4.0,RENT,Low,25591,5000, 36 months,small_business,Low,Good Loan,10.65,B,24.52,5604.37,5000.0,0.0,162.87,leinster
0.5,MORTGAGE,Low,70000,12000, 36 months,debt_consolidation,Low,Good Loan,11.71,B,17.11,13044.42,12000.0,0.0,396.92,leinster
5.0,RENT,Low,81000,12000, 36 months,debt_consolidation,High,Good Loan,16.29,D,1.96,15076.577669999999,12000.0,0.0,423.61,leinster
9.0,MORTGAGE,Low,100000,12000, 36 months,other,Low,Good Loan,8.9,A,15.56,13716.15907,12000.0,0.0,381.04,leinster
0.5,MORTGAGE,Low,43200,12000, 60 months,debt_consolidation,High,Good Loan,15.27,C,16.44,16938.03444,12000.0,0.0,287.19,Northern-Irl
10.0,MORTGAGE,Low,55000,15250, 60 months,debt_consolidation,Low,Good Loan,12.69,B,27.03,17213.94,11987.62,0.0,344.57,cannught
8.0,RENT,Low,35000,6000, 36 months,credit_card,Low,Good Loan,7.9,A,17.31,6596.99,6000.0,0.0,187.75,ulster
8.0,MORTGAGE,Low,86400,16200, 36 months,debt_consolidation,High,Good Loan,14.65,C,9.33,18802.91,16200.0,0.0,558.81,ulster
3.0,MORTGAGE,Low,81000,10000, 36 months,medical,High,Good Loan,14.27,C,2.49,10774.76,10000.0,0.0,343.09,leinster
10.0,RENT,Medium,112000,6400, 36 months,debt_consolidation,Low,Good Loan,6.62,A,2.12,6871.13,6400.0,0.0,196.51,Northern-Irl
8.0,RENT,Low,30000,11000, 36 months,debt_consolidation,Low,Good Loan,9.91,B,13.2,12604.26,11000.0,0.0,354.48,ulster
10.0,RENT,Low,65000,17000, 60 months,debt_consolidation,Low,Bad Loan,11.71,B,16.3,12368.91,6169.26,2609.81,375.67,leinster
10.0,RENT,Low,60000,5500, 60 months,debt_consolidation,High,Good Loan,18.64,E,16.6,7616.5838950000025,5500.0,0.0,141.59,Northern-Irl
2.0,MORTGAGE,Low,47500,12800, 60 months,home_improvement,Low,Good Loan,12.69,B,11.97,14448.4,10061.98,0.0,289.22,cannught
5.0,MORTGAGE,Low,42500,4800, 36 months,other,Low,Good Loan,7.51,A,20.75,5304.73,4800.0,0.0,149.34,Northern-Irl
8.0,MORTGAGE,Medium,140000,22000, 36 months,credit_card,Low,Good Loan,7.9,A,14.68,22558.19,22000.0,0.0,688.39,Northern-Irl
10.0,MORTGAGE,Low,66000,25000, 60 months,debt_consolidation,High,Bad Loan,21.67,F,12.75,32215.4,17103.65,0.0,685.8,cannught
3.0,MORTGAGE,Low,40000,2000, 36 months,home_improvement,Low,Good Loan,7.9,A,9.78,2013.37,2000.0,0.0,62.59,leinster
2.0,RENT,Low,42000,2500, 36 months,other,High,Bad Loan,16.77,D,3.8,2430.53,1668.76,130.83,88.85,Northern-Irl
10.0,MORTGAGE,Low,80000,3000, 36 months,medical,High,Bad Loan,14.27,C,20.01,2357.5,1759.72,0.0,102.93,Northern-Irl
1.0,RENT,Low,36000,5200, 60 months,credit_card,High,Bad Loan,17.27,D,19.4,1816.37,712.03,266.93,129.99,cannught
10.0,MORTGAGE,Low,54150,22250, 60 months,house,High,Good Loan,18.25,D,18.19,30405.373030000002,22250.0,0.0,568.04,leinster
4.0,RENT,Low,45000,12000, 60 months,debt_consolidation,High,Good Loan,19.91,E,23.31,16886.75705,12000.0,0.0,317.33,Northern-Irl
1.0,RENT,Low,63900,8000, 36 months,debt_consolidation,Low,Good Loan,6.03,A,5.2,8765.207040000001,8000.0,0.0,243.49,Northern-Irl
7.0,RENT,Low,36000,6500, 60 months,car,Low,Good Loan,11.71,B,1.75,8291.548078,6500.0,0.0,143.64,Northern-Irl
10.0,MORTGAGE,Low,78000,8000, 36 months,major_purchase,Low,Good Loan,7.9,A,5.29,8820.67,8000.0,0.0,250.33,Northern-Irl
2.0,RENT,Low,70900,17600, 60 months,debt_consolidation,High,Good Loan,16.77,D,23.27,21746.88,13556.94,0.0,435.24,Northern-Irl
5.0,OWN,Low,82000,21000, 36 months,debt_consolidation,High,Good Loan,14.65,C,10.21,25612.24,21000.0,0.0,724.38,Northern-Irl
4.0,MORTGAGE,Medium,125000,24000, 36 months,debt_consolidation,High,Good Loan,13.49,C,21.48,27191.69,24000.0,0.0,814.34,ulster
10.0,MORTGAGE,Low,90000,12000, 60 months,credit_card,Low,Good Loan,12.42,B,14.41,13470.58,9450.13,0.0,269.49,leinster
6.05,MORTGAGE,Low,61200,8000, 36 months,other,Low,Good Loan,6.62,A,15.73,8841.451611,8000.0,0.0,245.63,leinster
10.0,MORTGAGE,Low,91000,2400, 36 months,major_purchase,Low,Good Loan,9.91,B,10.95,2632.21,2400.0,0.0,77.34,cannught
4.0,RENT,Low,63000,12000, 36 months,debt_consolidation,Low,Good Loan,6.62,A,23.49,13256.93338,12000.0,0.0,368.45,leinster
9.0,MORTGAGE,Low,59000,3600, 36 months,medical,Low,Good Loan,7.51,A,21.82,3847.96,3600.0,0.0,112.0,cannught
10.0,MORTGAGE,Medium,101400,5600, 36 months,home_improvement,Low,Good Loan,6.62,A,14.58,5718.9,5600.0,0.0,171.95,Northern-Irl
0.5,RENT,Low,85200,8000, 60 months,other,High,Good Loan,18.25,D,18.13,12076.51,8000.0,0.0,204.24,leinster
10.0,MORTGAGE,Medium,117500,35000, 60 months,debt_consolidation,High,Good Loan,14.27,C,11.23,40944.28,27306.59,0.0,819.3,leinster
10.0,RENT,Low,39000,16000, 60 months,debt_consolidation,High,Good Loan,15.96,C,16.62,22433.85824,16000.0,0.0,388.75,Northern-Irl
7.0,MORTGAGE,Medium,120000,6000, 36 months,small_business,High,Good Loan,17.27,D,13.01,7029.76,6000.0,0.0,214.73,ulster
10.0,RENT,Low,68500,30000, 60 months,debt_consolidation,High,Good Loan,14.27,C,20.39,41399.85401,30000.0,0.0,702.26,Northern-Irl
0.5,MORTGAGE,Low,35000,12000, 36 months,debt_consolidation,Low,Good Loan,12.42,B,19.99,14322.71659,12000.0,0.0,400.99,cannught
6.0,RENT,Low,48000,6025, 36 months,debt_consolidation,Low,Good Loan,10.65,B,16.48,7063.8444290000025,6025.0,0.0,196.26,cannught
10.0,MORTGAGE,Low,52000,12000, 60 months,debt_consolidation,High,Good Loan,14.27,C,4.36,15643.902380000001,12000.0,0.0,280.91,Northern-Irl
5.0,MORTGAGE,Medium,125000,30000, 60 months,credit_card,Low,Good Loan,11.71,B,10.67,38418.37723,30000.0,0.0,662.95,munster
10.0,RENT,Low,50000,8000, 36 months,debt_consolidation,High,Good Loan,14.65,C,0.77,8377.47,8000.0,0.0,275.96,leinster
4.0,RENT,High,207000,12000, 60 months,debt_consolidation,High,Good Loan,19.42,E,16.5,18387.2016,12000.0,0.0,314.07,Northern-Irl
6.0,MORTGAGE,Medium,158000,21000, 36 months,debt_consolidation,Low,Good Loan,12.42,B,12.16,25259.24472,21000.0,0.0,701.73,cannught
5.0,RENT,Low,45000,20000, 60 months,debt_consolidation,High,Good Loan,18.64,E,22.35,25714.72,15251.56,0.0,514.86,leinster
10.0,MORTGAGE,Low,82000,10000, 36 months,debt_consolidation,Low,Good Loan,7.51,A,15.16,10123.71,10000.0,0.0,311.11,ulster
2.0,RENT,Low,54000,6000, 36 months,debt_consolidation,Low,Good Loan,7.9,A,24.82,6534.01,6000.0,0.0,187.75,Northern-Irl
10.0,RENT,Low,88000,10000, 36 months,debt_consolidation,Low,Good Loan,12.69,B,9.67,10616.54,10000.0,0.0,335.45,ulster
10.0,RENT,Medium,130000,16000, 36 months,debt_consolidation,Low,Good Loan,6.03,A,12.16,17530.47612,16000.0,0.0,486.97,munster
4.0,MORTGAGE,Medium,130000,28000, 60 months,major_purchase,Low,Good Loan,12.42,B,6.66,32867.51,28000.0,0.0,628.81,Northern-Irl
9.0,RENT,Low,60000,10000, 60 months,moving,High,Bad Loan,19.03,E,23.12,2852.63,1202.22,0.0,259.58,leinster
6.0,RENT,Medium,125000,10650, 60 months,debt_consolidation,High,Good Loan,19.42,E,18.12,16279.0785,10650.0,0.0,278.74,Northern-Irl
0.5,MORTGAGE,Medium,120000,7100, 36 months,debt_consolidation,Low,Good Loan,8.9,A,13.57,8115.1333,7100.0,0.0,225.45,Northern-Irl
